Esquema|Tabla|Columna|Tipo|Longitud
-------|-----|-------|----|--------
dbo|ACT_PROY|ANO_EJE|numeric|5
dbo|ACT_PROY|funcion|varchar|2
dbo|ACT_PROY|programa|varchar|3
dbo|ACT_PROY|sub_programa|varchar|4
dbo|ACT_PROY|act_proy|varchar|7
dbo|ACT_PROY|estado|varchar|1
dbo|ACT_PROY_NOMBRE|ANO_EJE|numeric|5
dbo|ACT_PROY_NOMBRE|act_proy|varchar|7
dbo|ACT_PROY_NOMBRE|tipo_act_proy|varchar|1
dbo|ACT_PROY_NOMBRE|nombre|varchar|250
dbo|ACT_PROY_NOMBRE|estado|varchar|1
dbo|ACT_PROY_NOMBRE_FASE|ANO_EJE|numeric|5
dbo|ACT_PROY_NOMBRE_FASE|FASE_CUADRO|numeric|5
dbo|ACT_PROY_NOMBRE_FASE|ACT_PROY|varchar|10
dbo|ACT_PROY_NOMBRE_FASE|TIPO_ACT_PROY|varchar|1
dbo|ACT_PROY_NOMBRE_FASE|NOMBRE|varchar|250
dbo|ACT_PROY_NOMBRE_FASE|ESTADO|varchar|1
dbo|ACUM_X_UBIGEO_DISP_LEGAL|ID_REGISTRO|varchar|10
dbo|ACUM_X_UBIGEO_DISP_LEGAL|ANO_EJE|numeric|9
dbo|ACUM_X_UBIGEO_DISP_LEGAL|SEC_EJEC|numeric|9
dbo|ACUM_X_UBIGEO_DISP_LEGAL|DISPOSITIVO_LEGAL|varchar|4
dbo|ACUM_X_UBIGEO_DISP_LEGAL|FUNCION|varchar|2
dbo|ACUM_X_UBIGEO_DISP_LEGAL|PROGRAMA_PPTO|varchar|4
dbo|ACUM_X_UBIGEO_DISP_LEGAL|ACT_PROY|varchar|7
dbo|ACUM_X_UBIGEO_DISP_LEGAL|COMPONENTE|varchar|7
dbo|ACUM_X_UBIGEO_DISP_LEGAL|FUENTE_FINANC_AGREGADA|varchar|1
dbo|ACUM_X_UBIGEO_DISP_LEGAL|FUENTE_FINANC|varchar|2
dbo|ACUM_X_UBIGEO_DISP_LEGAL|TIPO_TRANSACCION|varchar|1
dbo|ACUM_X_UBIGEO_DISP_LEGAL|GENERICA|varchar|1
dbo|ACUMULADO|ANO_EJE|numeric|5
dbo|ACUMULADO|sec_ejec|numeric|5
dbo|ACUMULADO|ORIGEN|varchar|1
dbo|ACUMULADO|FUENTE_FINANC|varchar|2
dbo|ACUMULADO|MES_EJE|varchar|2
dbo|ACUMULADO|funcion|varchar|2
dbo|ACUMULADO|programa|varchar|3
dbo|ACUMULADO|categ_gasto|varchar|1
dbo|ACUMULADO|grupo_gasto|varchar|1
dbo|ACUMULADO|tipo_pago|varchar|1
dbo|ACUMULADO|TIPO_RECURSO|varchar|2
dbo|ACUMULADO|tipo_compromiso|varchar|2
dbo|ACUMULADO|MONTO_RESERVADO|numeric|9
dbo|ACUMULADO|monto_calendario|numeric|9
dbo|ACUMULADO|MONTO_PRECOMPROMISO|numeric|9
dbo|ACUMULADO|monto_comprometido|numeric|9
dbo|ACUMULADO|monto_devengado|numeric|9
dbo|ACUMULADO|monto_girado|numeric|9
dbo|ACUMULADO|monto_pagado|numeric|9
dbo|ACUMULADO|monto_comprometido_siaf|numeric|9
dbo|ACUMULADO|categoria_gasto|varchar|1
dbo|ACUMULADO_ENCARGO|ano_eje|numeric|5
dbo|ACUMULADO_ENCARGO|sec_ejec|numeric|5
dbo|ACUMULADO_ENCARGO|sec_ejec2|numeric|5
dbo|ACUMULADO_ENCARGO|expediente|numeric|9
dbo|ACUMULADO_ENCARGO|funcion|char|2
dbo|ACUMULADO_ENCARGO|programa|char|3
dbo|ACUMULADO_ENCARGO|origen|char|1
dbo|ACUMULADO_ENCARGO|fuente_financ|char|2
dbo|ACUMULADO_ENCARGO|sec_func|numeric|5
dbo|ACUMULADO_ENCARGO|categ_gasto|char|1
dbo|ACUMULADO_ENCARGO|grupo_gasto|char|1
dbo|ACUMULADO_ENCARGO|tipo_pago|char|1
dbo|ACUMULADO_ENCARGO|tipo_recurso|varchar|2
